aX,aY,aZ,gX,gY,gZ
-0.969,0.232,-1.282,41.779,80.068,25.832
-0.898,0.302,-1.073,51.412,47.290,19.573
-0.549,0.672,-0.687,43.428,-15.519,13.328
-0.948,0.272,-0.734,-36.008,-39.458,23.802
-0.514,-0.104,-1.130,-10.679,-8.206,-8.488
-0.612,-0.107,-1.000,-12.298,9.992,-22.046
-0.679,-0.154,-0.983,1.672,-34.359,20.916
-0.820,0.097,-0.699,3.596,7.030,7.313
-0.745,-0.058,-0.820,-16.343,-43.733,4.993
-0.798,0.051,-0.744,-7.427,-35.871,23.390
-0.796,0.097,-0.677,-18.527,-111.642,34.092
-0.795,0.131,-0.607,-20.878,-49.397,-1.557
-0.906,0.224,-0.460,-32.252,-42.252,-4.183
-0.904,0.203,-0.540,-46.603,-44.649,-21.221
-1.012,0.243,-0.468,-59.382,-82.955,-11.145
-0.938,0.094,-0.539,-68.069,-93.718,-37.923
-0.953,0.238,-0.435,-63.885,-62.359,-44.076
-0.981,0.127,-0.372,-67.443,-98.924,-35.725
-0.979,0.093,-0.311,-76.557,-89.397,-43.175
-1.143,0.172,-0.295,-87.412,-109.245,-23.862
-1.041,0.062,-0.226,-88.145,-179.840,-0.076
-1.012,0.113,-0.126,-95.946,-186.130,-16.397
-0.973,0.136,0.110,-134.649,-254.390,0.932
-0.888,0.041,0.131,-140.924,-287.794,15.878
-0.595,0.376,0.452,-180.481,-299.245,-12.549
-0.160,0.049,0.420,-195.931,-283.626,27.222
-0.136,-0.023,0.537,-246.374,-283.855,84.855
0.039,-0.422,0.335,-224.267,-185.474,83.756
-0.355,-0.949,0.015,-233.779,-103.260,36.290

-1.180,-1.833,-0.747,-207.382,13.595,99.512
-1.142,-2.000,-0.664,-44.298,-7.016,121.573
0.213,-0.660,0.325,92.603,-8.100,-141.542
0.123,-0.648,0.444,24.054,35.992,-34.763
-0.125,-0.764,0.438,17.428,-18.680,4.412
-0.096,-0.953,0.263,-8.832,-15.290,-11.282
-0.114,-0.909,0.314,26.756,2.404,-12.427
-0.106,-0.827,0.443,20.786,-10.634,-22.259
0.062,-0.733,0.492,1.443,-35.764,-19.313
0.070,-0.855,0.443,-4.206,-30.115,9.451
-0.013,-0.881,0.417,6.741,-3.245,-3.465
-0.032,-0.878,0.408,6.298,-1.687,-4.320
-0.036,-0.848,0.410,12.725,4.007,-5.114
0.005,-0.833,0.447,8.191,4.862,-10.885
0.047,-0.838,0.422,3.657,-13.474,0.474
0.051,-0.840,0.438,7.412,-5.916,3.909
-0.010,-0.816,0.482,5.199,-0.802,0.886
-0.017,-0.806,0.475,0.344,-6.527,-0.259
0.019,-0.820,0.468,-3.824,-3.077,-0.427
0.009,-0.858,0.441,-2.099,-1.046,-1.160
0.017,-0.849,0.431,0.725,-2.955,2.077
0.010,-0.854,0.420,2.573,-0.878,1.359
0.007,-0.838,0.438,4.359,0.328,2.870
-0.017,-0.812,0.458,1.443,-7.428,3.664
0.021,-0.845,0.431,1.122,-2.329,-0.168
0.015,-0.832,0.458,2.679,3.626,-2.381
0.003,-0.831,0.456,-0.374,-5.153,0.229
0.018,-0.830,0.446,0.145,-1.336,-0.855
0.021,-0.823,0.437,0.771,-0.649,1.344
0.006,-0.842,0.430,0.435,-2.848,2.061

-0.813,-0.458,-1.576,18.374,108.725,20.077
-0.948,-0.392,-1.844,19.504,97.427,-11.450
0.182,1.073,-2.000,120.695,196.862,-144.748
-1.386,2.000,0.044,212.817,98.053,118.474
-2.000,2.000,0.729,-124.878,-246.161,207.527
-0.801,2.000,-1.635,-154.313,-160.588,-125.221
-0.587,2.000,-0.594,-438.145,-264.466,-104.137
-0.398,1.242,-1.336,-497.275,-199.550,-80.672
-0.132,0.066,-0.701,-212.175,38.542,-156.916
-0.440,-0.391,-1.702,-315.687,-318.924,-96.412
-0.684,-1.502,-1.374,-121.992,-177.642,-90.519
-2.000,-1.262,-0.421,-282.633,-208.496,-88.427
0.162,-1.183,-0.555,-180.924,-227.046,-107.725
-0.507,-1.076,0.592,-231.412,-261.596,95.496
-0.381,-0.997,0.502,104.038,-82.817,72.260
-0.557,-0.354,0.941,29.565,46.053,-23.862
-0.403,-0.669,0.457,12.115,-29.901,-2.168
-0.283,-0.643,0.451,22.420,17.916,-10.214
-0.400,-0.526,0.583,26.512,8.328,16.153
-0.454,-0.589,0.632,8.420,-6.893,8.031
-0.376,-0.563,0.615,10.985,9.641,-15.313
-0.402,-0.581,0.545,10.939,-9.947,-5.313
-0.402,-0.601,0.539,11.702,-4.283,-7.771
-0.406,-0.563,0.639,26.588,14.954,-11.221
-0.397,-0.515,0.672,6.634,7.534,-3.740
-0.379,-0.590,0.587,-2.175,-7.000,0.382
-0.384,-0.583,0.546,7.366,1.198,-7.786
-0.379,-0.560,0.599,4.099,-1.443,-3.939
-0.354,-0.565,0.622,5.336,-1.077,-0.717
-0.384,-0.558,0.628,3.580,0.847,-4.427

-1.321,-0.219,-1.907,-15.183,158.343,87.512
-1.609,-0.274,-2.000,54.695,107.778,65.664
-1.076,0.903,-1.330,283.763,157.275,-79.618
-1.091,1.627,1.315,-73.397,42.191,33.909
-1.344,-0.163,-2.000,-66.847,-171.855,2.565
-0.743,0.688,-0.208,56.771,-29.977,44.336
-0.932,0.213,-0.713,-5.061,-41.642,-17.542
-0.695,0.361,-0.416,8.863,-13.871,2.229
-0.836,0.257,-0.421,-28.618,-27.122,7.344
-0.907,0.123,-0.549,-30.511,-60.619,3.954
-0.682,0.205,-0.434,-31.183,-28.435,-4.229
-0.899,0.148,-0.482,-4.954,-9.245,9.939
-1.115,0.210,-0.360,-14.588,-31.061,-0.183
-0.953,0.207,-0.276,-29.641,-56.787,-11.694
-1.040,0.231,-0.200,-35.992,-63.871,15.038
-0.739,0.208,-0.354,-15.397,-35.122,-4.030
-1.194,0.397,0.094,-25.000,-113.886,37.038
-1.030,0.280,-0.119,-53.534,-134.344,21.267
-0.929,0.450,0.177,-53.809,-109.138,0.794
-1.074,0.472,0.140,-86.160,-180.771,25.802
-0.921,0.478,0.256,-106.771,-215.642,14.183
-0.673,0.535,0.386,-108.435,-214.130,27.909
-0.746,0.464,0.554,-137.153,-253.535,33.130
-0.294,0.424,0.672,-141.198,-232.619,34.977
-0.185,0.400,0.744,-157.565,-250.619,79.237
0.042,0.565,1.034,-182.603,-266.329,122.489
0.638,0.531,0.923,-211.198,-244.451,179.222
0.535,0.570,0.787,-282.557,-235.016,159.099
0.391,-0.171,-0.035,-256.847,-98.603,194.275
-0.464,-0.497,0.139,-246.237,22.007,80.672

-2.000,-1.803,-1.032,-204.313,-149.367,290.275
-2.000,-2.000,-1.181,-132.572,108.832,271.176
1.229,-0.031,0.297,6.970,-34.054,-206.000
-0.001,-1.138,-0.214,-30.023,8.053,25.695
-0.060,-1.053,-0.311,0.557,6.129,-34.473
-0.193,-1.062,-0.024,57.305,-10.496,-23.878
0.133,-0.869,0.269,46.023,-27.657,-45.542
0.273,-0.896,0.182,4.649,29.381,-38.229
0.083,-1.020,0.131,14.618,18.313,-19.557
0.104,-1.008,0.046,10.786,4.954,-17.084
0.035,-1.003,0.113,20.695,-2.008,-16.733
0.118,-0.925,0.167,22.527,-21.474,-28.931
0.257,-0.941,0.168,7.702,-13.748,-11.557
0.194,-0.983,0.154,18.054,12.145,-13.755
0.193,-0.930,0.200,16.191,5.549,-9.526
0.202,-0.925,0.201,9.534,2.267,0.504
0.181,-0.929,0.195,11.061,2.939,-3.755
0.156,-0.949,0.219,8.954,-5.489,-3.633
0.207,-0.937,0.223,3.321,-9.153,-2.214
0.211,-0.942,0.219,3.351,-3.061,-4.198
0.223,-0.936,0.203,2.802,-5.336,-1.710
0.213,-0.943,0.186,3.244,-1.535,1.939
0.181,-0.944,0.204,4.283,-1.474,-0.412
0.177,-0.923,0.225,3.290,-5.687,-1.603
0.196,-0.942,0.210,2.191,-2.802,-4.030
0.211,-0.943,0.201,4.267,0.710,-3.114
0.198,-0.921,0.235,5.458,1.900,-4.290
0.223,-0.921,0.235,1.366,-1.840,-3.725
0.224,-0.928,0.204,1.702,0.420,-0.656
0.222,-0.917,0.235,3.886,0.435,-2.183

-0.678,0.643,-1.346,54.634,274.374,-59.985
-0.642,0.699,-1.472,45.336,281.656,-72.565
-1.044,1.400,-1.897,7.809,273.458,6.550
-1.211,0.107,-0.800,78.557,12.389,104.321
-0.267,0.604,-1.224,68.267,28.435,11.145
-1.030,0.119,-0.790,8.420,-23.397,73.222
-0.855,0.049,-0.986,-16.710,-58.634,-11.588
-0.734,-0.329,-1.087,-48.985,-73.275,-10.107
-0.941,0.179,-0.659,-54.435,-34.680,-27.359
-0.998,-0.102,-0.823,-73.748,-254.603,88.183
-0.834,0.408,-0.590,-70.298,-127.260,-6.381
-1.240,0.280,-0.397,-104.328,-301.351,72.046
-0.853,0.110,-0.443,-102.069,-175.321,-42.641
-0.907,0.193,-0.006,-83.656,-160.955,-15.481
-0.979,-0.037,0.014,-67.015,-201.993,-10.030
-0.813,0.054,0.206,-68.389,-143.977,-13.343
-0.847,0.089,0.372,-65.519,-132.038,30.077
-0.766,0.022,0.400,-70.557,-122.649,1.848
-0.899,0.192,0.595,-97.229,-128.756,38.107
-0.755,0.069,0.530,-80.618,-177.306,61.313
-0.742,0.230,0.642,-109.763,-215.382,70.138
-0.523,0.190,0.635,-122.359,-232.939,78.977
-0.522,0.322,0.701,-173.580,-276.756,42.748
-0.327,0.502,0.722,-221.046,-354.817,69.435
0.595,-0.050,-0.353,-309.366,-329.412,14.840
-0.598,-1.015,-0.105,-272.756,-182.130,24.443
-0.150,-2.000,-2.000,-327.168,-21.916,-90.488
0.064,-1.447,0.035,189.290,-58.787,-114.610
1.290,0.055,0.050,204.908,-312.405,-28.168
1.371,-0.314,0.011,-32.527,43.488,-25.313

-0.461,0.525,-1.632,84.313,161.504,20.580
-0.418,0.721,-1.658,86.710,177.290,-3.450
-0.612,1.474,-1.559,76.817,207.412,-67.068
-1.739,2.000,-1.256,-36.801,-14.283,128.932
-1.777,1.275,-0.914,-137.672,-303.565,32.870
-0.791,1.596,-1.223,-175.504,-325.932,-109.649
-0.924,0.616,-1.148,-201.626,-474.588,20.993
-0.550,-0.039,-0.216,-172.786,-187.489,-91.389
-0.937,-0.313,0.132,-153.656,-255.413,-31.572
-0.337,-0.351,0.015,-163.259,-257.977,-72.794
-0.667,-0.397,0.074,-142.420,-264.558,-62.275
-0.336,-0.693,0.254,-124.985,-192.435,-105.511
0.242,-2.000,-0.093,-95.000,-286.161,63.252
-0.075,-1.367,0.272,136.878,90.114,-61.496
-0.276,-0.088,1.142,26.603,116.481,-50.992
0.025,-0.153,0.832,22.038,13.702,10.764
-0.140,-0.282,0.893,17.657,12.572,-5.908
-0.175,-0.489,0.739,8.603,-1.901,29.466
-0.275,-0.438,0.799,-8.267,12.786,2.107
