aX,aY,aZ,gX,gY,gZ
-0.430,1.116,-0.394,91.198,144.506,501.602
0.356,0.008,-0.383,150.236,50.201,501.602
0.189,-0.221,-0.417,96.328,136.598,434.243
0.226,-0.154,-0.393,122.343,208.644,419.434
-0.343,0.038,-0.230,164.160,185.789,428.701
-1.154,-0.263,0.070,62.038,162.964,246.228
-1.114,0.221,0.076,30.770,121.682,207.419
-1.973,0.001,0.184,-17.367,41.926,90.777
-1.869,-0.050,-0.008,-28.726,-45.799,48.029
-1.195,-0.359,0.100,8.648,-28.608,-50.994
-0.903,-0.280,0.217,25.366,-31.494,-54.444
-0.710,-0.250,0.138,29.015,-78.990,-110.627
-0.857,-0.293,0.196,-50.405,-94.379,-112.078
-0.862,-0.128,0.071,-35.489,-158.471,-250.215
-0.548,-0.098,-0.043,-72.695,-233.219,-291.513
-0.301,0.048,-0.223,-120.787,-191.326,-303.177
-0.320,0.058,-0.245,-123.993,-265.127,-433.925
-0.165,0.421,-0.386,-165.031,-332.379,-457.070
0.335,1.012,-0.991,-167.856,-398.013,-491.391
2.000,2.000,-1.630,-363.474,-108.776,-230.169
1.710,0.914,-0.750,-167.398,178.613,-130.948
1.818,0.811,-0.426,10.786,17.773,-48.673
1.504,0.542,-0.502,0.312,44.170,-19.253

1.819,0.593,-0.535,68.999,-22.914,67.678
1.440,0.543,-0.315,5.518,87.071,71.419
0.590,0.202,-0.210,45.152,77.361,97.556
0.619,0.106,-0.140,59.427,6.567,91.434
0.937,0.108,-0.178,16.419,-8.486,58.441
1.090,0.121,-0.284,8.205,25.071,8.472
1.003,0.139,-0.207,-2.726,10.644,10.762
0.966,0.147,-0.187,2.847,1.636,-1.940
1.061,0.177,-0.204,1.213,1.041,-0.581
1.065,0.136,-0.221,5.671,5.758,8.411
1.008,0.126,-0.219,-0.497,-0.120,3.220
1.019,0.124,-0.225,0.419,3.499,-2.963
1.057,0.134,-0.224,3.183,-4.150,4.640
1.018,0.125,-0.238,-2.604,-0.135,2.915
1.010,0.126,-0.220,1.763,3.193,-1.406
1.038,0.141,-0.221,0.587,2.644,-4.032
1.040,0.143,-0.221,0.190,2.995,4.487
0.996,0.124,-0.230,1.702,2.720,-4.246
1.027,0.139,-0.190,-0.940,3.163,-5.070
1.058,0.142,-0.215,3.809,7.911,-1.009
0.997,0.152,-0.177,-0.650,4.598,-1.726
1.021,0.159,-0.195,1.045,0.995,-1.421
1.029,0.158,-0.213,1.213,3.636,-6.444
1.025,0.133,-0.178,3.381,1.102,-4.368
1.040,0.132,-0.187,1.152,3.315,-2.291
1.008,0.152,-0.195,-1.581,3.041,-5.589
1.012,0.176,-0.207,2.557,0.796,2.548
1.031,0.149,-0.199,1.595,8.796,-4.093
0.992,0.183,-0.166,0.847,3.102,-2.520
1.048,0.178,-0.187,0.831,-0.547,-0.093

1.127,1.784,-0.079,-35.733,-202.547,-426.810
1.209,1.782,-0.539,-67.337,-172.333,-440.597
